"","x"
"76","chr1_7218949_7219245"
"77","chr1_7313504_7313714"
"78","chr1_7394266_7394301"
"79","chr1_7395468_7395941"
"80","chr1_7396817_7399055"
"81","chr1_7543549_7543636"
"82","chr1_8496383_8496676"
"83","chr1_8863923_8863980"
"84","chr1_9298338_9301010"
"85","chr1_9541172_9541699"
"86","chr1_9544824_9546376"
"87","chr1_9547893_9548358"
"88","chr1_9548950_9549353"
"89","chr1_9564421_9564938"
"90","chr1_9573177_9573658"
"91","chr1_9583560_9584287"
"92","chr1_9600951_9602077"
"93","chr1_9622469_9623058"
"94","chr1_9627289_9628021"
"95","chr1_9629355_9630937"
"96","chr1_9649211_9649581"
"97","chr1_9696779_9697200"
"98","chr1_9699673_9701330"
"99","chr1_9747403_9748905"
"100","chr1_9772716_9773361"
"101","chr1_9797510_9799039"
"102","chr1_9815588_9816250"
"103","chr1_9819276_9819543"
"104","chr1_9847625_9848970"
"105","chr1_9908410_9908839"
"106","chr1_9942929_9944655"
"107","chr1_9967237_9968495"
"108","chr1_10007179_10007645"
"109","chr1_10008744_10009612"
"110","chr1_10014419_10014791"
"111","chr1_10037191_10038639"
"112","chr1_10039390_10040551"
"113","chr1_10089570_10089916"
"114","chr1_10231463_10233986"
"115","chr1_10429925_10430262"
"116","chr1_10452208_10452611"
"117","chr1_10510336_10510838"
"118","chr1_10525077_10525210"
"119","chr1_10596236_10597155"
"120","chr1_10771795_10772230"
"121","chr1_10794128_10794757"
"122","chr1_10835687_10836022"
"123","chr1_10837258_10837326"
"124","chr1_10871254_10871887"
"125","chr1_10943001_10943278"
"126","chr1_10967341_10967680"
"127","chr1_10990894_10991288"
"128","chr1_10993140_10994250"
"129","chr1_11033455_11033876"
"130","chr1_11045284_11046710"
"131","chr1_11116853_11117513"
"132","chr1_11139963_11140230"
"133","chr1_11179876_11180288"
"134","chr1_11268216_11268670"
"135","chr1_11329453_11329845"
"136","chr1_11413512_11414865"
"137","chr1_11458322_11458806"
"138","chr1_11567411_11567653"
"139","chr1_11650084_11650526"
"140","chr1_11657658_11658143"
"141","chr1_11748440_11748788"
"142","chr1_11895726_11896124"
"143","chr1_11915869_11916259"
"144","chr1_11931679_11932059"
"145","chr1_11936888_11937522"
"146","chr1_11982528_11982848"
"147","chr1_12010682_12010920"
"148","chr1_12092249_12093043"
"149","chr1_12115699_12115706"
"150","chr1_12192507_12192807"
"151","chr1_12250558_12250684"
"152","chr1_12409913_12410809"
"153","chr1_12555914_12556204"
"154","chr1_12572012_12572310"
"155","chr1_12576977_12577473"
"156","chr1_12641018_12641377"
"157","chr1_12689481_12689901"
"158","chr1_12692195_12693914"
"159","chr1_12710874_12710913"
"160","chr1_12718032_12718546"
"161","chr1_12771237_12771642"
"162","chr1_12832738_12833569"
"163","chr1_12834650_12834919"
"164","chr1_12835477_12837235"
"165","chr1_12863942_12864580"
"166","chr1_12895289_12895785"
"167","chr1_12947393_12947973"
"168","chr1_12985030_12985156"
"169","chr1_12990098_12993202"
"170","chr1_13004853_13005640"
"171","chr1_13018471_13018873"
"172","chr1_13050162_13050557"
"173","chr1_13069668_13069983"
"174","chr1_13103905_13104305"
"175","chr1_13125048_13127454"
"176","chr1_13128295_13128812"
"177","chr1_13142893_13143236"
"178","chr1_13151084_13151440"
"179","chr1_13152974_13153001"
"180","chr1_13171135_13171524"
"181","chr1_13183286_13183792"
"182","chr1_13188131_13188931"
"183","chr1_13191106_13191182"
"184","chr1_13196312_13197397"
"185","chr1_13251684_13252085"
"186","chr1_13299528_13299929"
"187","chr1_13314471_13314800"
"188","chr1_13352760_13353108"
"189","chr1_13360621_13360980"
"190","chr1_13366659_13366969"
"191","chr1_13371882_13374994"
"192","chr1_13425705_13428241"
"193","chr1_13494807_13494913"
"194","chr1_13531445_13531919"
"195","chr1_13573784_13574486"
"196","chr1_13588911_13590484"
"197","chr1_13649559_13650234"
"198","chr1_13659690_13660907"
"199","chr1_13682917_13683425"
"200","chr1_13706289_13706759"
"201","chr1_13784428_13784831"
"202","chr1_13789153_13789860"
"203","chr1_13858553_13858974"
"204","chr1_13861260_13861383"
"205","chr1_13870929_13870974"
"206","chr1_13936186_13936344"
"207","chr1_13992951_13993416"
"208","chr1_14108181_14109561"
"209","chr1_14129393_14130028"
"210","chr1_14165415_14165748"
"211","chr1_14181630_14181894"
"212","chr1_14184193_14185607"
"213","chr1_14190050_14190168"
"214","chr1_14218675_14219091"
"215","chr1_14293673_14294650"
"216","chr1_14303336_14303936"
"217","chr1_14304536_14305299"
"218","chr1_14309367_14310592"
"219","chr1_14504345_14505002"
"220","chr1_14506113_14507059"
"221","chr1_14512935_14514296"
"222","chr1_14623029_14623585"
"223","chr1_14678453_14678800"
"224","chr1_14704953_14705333"
"225","chr1_14729061_14729406"
"226","chr1_14739971_14740450"
"227","chr1_14755043_14756223"
"228","chr1_14756870_14757190"
"229","chr1_14918837_14918893"
"230","chr1_15007675_15008064"
"231","chr1_15034309_15034323"
"232","chr1_15286089_15288039"
"233","chr1_15307584_15307911"
"234","chr1_15383328_15383655"
"235","chr1_15568596_15569120"
"236","chr1_15610462_15610898"
"237","chr1_15616203_15616976"
"238","chr1_15621918_15622254"
"239","chr1_15636491_15636889"
"240","chr1_15641100_15641225"
"241","chr1_15651770_15652469"
"242","chr1_15658232_15658890"
"243","chr1_15683586_15684051"
"244","chr1_15791880_15792232"
"245","chr1_15805020_15806531"
"246","chr1_15892386_15893093"
"247","chr1_15991033_15991956"
"248","chr1_16092869_16093575"
"249","chr1_16103777_16106646"
"250","chr1_16185953_16186273"
"251","chr1_16201901_16202334"
"252","chr1_16433432_16433755"
"253","chr1_16440217_16440561"
"254","chr1_16518382_16520573"
"255","chr1_16546591_16547033"
"256","chr1_16617695_16620027"
"257","chr1_16656220_16657975"
"258","chr1_16664809_16665848"
"259","chr1_16688134_16689168"
"260","chr1_16798534_16798684"
"261","chr1_16979867_16980320"
"262","chr1_17043330_17043725"
"263","chr1_17060443_17061019"
"264","chr1_17096632_17098678"
"265","chr1_17123216_17123862"
"266","chr1_17145078_17145979"
"267","chr1_17163556_17163952"
"268","chr1_17309894_17310353"
"269","chr1_17727115_17727779"
"270","chr1_17838393_17838834"
"271","chr1_17980598_17980994"
"272","chr1_18057604_18059220"
"273","chr1_18106105_18107092"
"274","chr1_18148247_18148596"
"275","chr1_18168264_18168688"
"276","chr1_18170820_18170876"
"277","chr1_18180239_18181791"
"278","chr1_18190926_18192249"
"279","chr1_18292475_18292857"
"280","chr1_18307283_18308898"
"281","chr1_18386595_18386841"
"282","chr1_18465497_18465656"
"283","chr1_18758317_18758940"
"284","chr1_18905189_18905223"
"285","chr1_18976677_18977059"
"286","chr1_19096969_19097531"
"287","chr1_19103706_19105095"
"288","chr1_19106950_19107458"
"289","chr1_19109761_19110095"
"290","chr1_19178987_19179391"
"291","chr1_19205735_19206613"
"292","chr1_19209950_19209961"
"293","chr1_19211909_19212066"
"294","chr1_19217265_19217650"
"295","chr1_19226611_19227032"
"296","chr1_19245053_19245571"
"297","chr1_19857787_19857921"
"298","chr1_19868574_19868869"
"299","chr1_19973372_19973670"
"300","chr1_20017655_20018017"
"301","chr1_20039437_20039725"
"302","chr1_20069694_20070195"
"303","chr1_20216667_20217110"
"304","chr1_20302504_20303422"
"305","chr1_20311533_20311858"
"306","chr1_20409572_20410104"
"307","chr1_20428225_20429182"
"308","chr1_20450065_20450526"
"309","chr1_20470266_20470755"
"310","chr1_20477607_20478404"
"311","chr1_20498909_20499406"
"312","chr1_20513680_20514074"
"313","chr1_20554353_20554842"
"314","chr1_20612677_20613136"
"315","chr1_20700079_20700355"
"316","chr1_20801450_20802207"
"317","chr1_20819872_20820727"
"318","chr1_20823942_20824168"
"319","chr1_20845671_20846030"
"320","chr1_20867453_20867943"
"321","chr1_20889884_20891801"
"322","chr1_20905322_20906653"
"323","chr1_20921309_20921607"
"324","chr1_20922434_20923481"
"325","chr1_20933438_20933942"
"326","chr1_20938973_20939490"
"327","chr1_20941291_20942008"
"328","chr1_20950965_20952432"
"329","chr1_20984686_20984949"
"330","chr1_20986631_20986954"
"331","chr1_20995289_20995840"
"332","chr1_21002559_21003238"
"333","chr1_21052247_21052956"
"334","chr1_21074039_21074714"
"335","chr1_21078476_21080009"
"336","chr1_21161758_21162179"
"337","chr1_21166125_21166936"
"338","chr1_21218316_21219364"
"339","chr1_21271413_21272516"
"340","chr1_21411158_21412317"
"341","chr1_21419404_21419733"
"342","chr1_21434913_21435241"
"343","chr1_21460846_21461517"
"344","chr1_21563942_21564343"
"345","chr1_21597943_21598303"
"346","chr1_21600660_21601228"
"347","chr1_21635396_21635910"
"348","chr1_21661013_21661035"
"349","chr1_21803703_21805452"
"350","chr1_21829895_21830589"
"351","chr1_21922332_21923692"
"352","chr1_21960194_21962689"
"353","chr1_22070172_22070332"
"354","chr1_22167488_22168403"
"355","chr1_22246861_22247354"
"356","chr1_22262442_22262768"
"357","chr1_22263337_22263483"
"358","chr1_22266492_22266774"
"359","chr1_22268737_22269422"
"360","chr1_22476178_22476609"
"361","chr1_22487281_22487671"
"362","chr1_22533019_22534294"
"363","chr1_22604538_22604729"
"364","chr1_22615601_22615906"
"365","chr1_22640660_22640861"
"366","chr1_22709357_22709764"
"367","chr1_22805063_22807181"
"368","chr1_22903094_22903109"
"369","chr1_23004830_23005333"
"370","chr1_23061880_23062462"
"371","chr1_23098005_23099125"
"372","chr1_23146348_23146855"
"373","chr1_23255692_23257563"
"374","chr1_23286672_23287199"
"375","chr1_23321204_23321892"
"376","chr1_23324319_23324340"
"377","chr1_23379139_23380828"
"378","chr1_23382404_23384022"
"379","chr1_23464309_23464453"
"380","chr1_23490240_23491367"
"381","chr1_23495338_23495797"
"382","chr1_23575093_23576581"
"383","chr1_23589416_23590072"
"384","chr1_23656156_23656818"
"385","chr1_23670557_23671123"
"386","chr1_23705487_23705962"
"387","chr1_23722793_23723116"
"388","chr1_23761329_23765106"
"389","chr1_23766014_23766135"
"390","chr1_23792711_23793180"
"391","chr1_23827037_23827535"
"392","chr1_23834458_23835349"
"393","chr1_23846230_23846728"
"394","chr1_23884074_23885337"
"395","chr1_23921491_23922814"
"396","chr1_23934854_23935503"
"397","chr1_23953855_23954250"
"398","chr1_24005058_24006099"
"399","chr1_24033995_24034420"
"400","chr1_24074263_24074833"
"401","chr1_24099058_24101169"
"402","chr1_24120373_24120545"
"403","chr1_24122455_24123070"
"404","chr1_24134625_24135319"
"405","chr1_24137156_24137464"
"406","chr1_24143449_24143914"
"407","chr1_24171383_24171907"
"408","chr1_24185016_24185360"
"409","chr1_24191533_24191925"
"410","chr1_24195898_24196222"
"411","chr1_24222933_24223684"
"412","chr1_24225991_24227420"
"413","chr1_24230323_24230833"
"414","chr1_24245741_24246177"
"415","chr1_24248660_24249561"
"416","chr1_24264332_24264715"
"417","chr1_24280175_24280201"
"418","chr1_24302606_24303123"
"419","chr1_24362179_24362766"
"420","chr1_24367494_24368224"
"421","chr1_24374934_24375270"
"422","chr1_24378407_24378854"
"423","chr1_24380919_24381333"
"424","chr1_24452179_24453492"
"425","chr1_24495494_24495782"
"426","chr1_24512488_24512887"
"427","chr1_24515234_24515794"
"428","chr1_24539932_24540190"
"429","chr1_24586274_24587619"
"430","chr1_24612471_24613095"
"431","chr1_24633790_24634087"
"432","chr1_24677968_24679804"
"433","chr1_24686598_24687004"
"434","chr1_24719595_24719971"
"435","chr1_24758709_24758953"
"436","chr1_24760122_24760199"
"437","chr1_24832532_24832568"
"438","chr1_24869805_24870277"
"439","chr1_24901312_24901634"
"440","chr1_24938361_24938796"
"441","chr1_25008795_25009209"
"442","chr1_25033633_25034139"
"443","chr1_25057330_25057563"
"444","chr1_25060218_25060574"
"445","chr1_25082280_25082822"
"446","chr1_25085260_25086607"
"447","chr1_25105248_25105836"
"448","chr1_25106961_25108210"
"449","chr1_25132224_25132903"
"450","chr1_25163485_25164032"
"451","chr1_25165610_25166873"
"452","chr1_25179569_25181084"
"453","chr1_25185922_25186265"
"454","chr1_25204933_25204934"
"455","chr1_25227838_25229824"
"456","chr1_25430409_25430941"
"457","chr1_25490179_25490616"
"458","chr1_25491181_25491316"
"459","chr1_25503665_25504963"
"460","chr1_25510610_25510667"
"461","chr1_25527225_25527300"
"462","chr1_25588564_25588999"
"463","chr1_25696700_25697762"
"464","chr1_25698409_25699254"
"465","chr1_25722332_25722727"
"466","chr1_25768845_25769492"
"467","chr1_25824260_25825025"
"468","chr1_25826881_25827138"
"469","chr1_25828861_25831436"
"470","chr1_25892085_25893275"
"471","chr1_26256435_26256558"
"472","chr1_26282762_26283588"
"473","chr1_26289620_26289986"
"474","chr1_26463210_26463601"
"475","chr1_26511390_26511791"
"476","chr1_26853676_26854244"
"477","chr1_27616385_27616408"
"478","chr1_27629123_27629453"
"479","chr1_27642192_27642416"
"480","chr1_28144872_28145156"
"481","chr1_28214053_28214997"
"482","chr1_28349382_28349896"
"483","chr1_28373502_28373709"
"484","chr1_28640925_28641244"
"485","chr1_29019220_29019681"
"486","chr1_29216954_29217706"
"487","chr1_29261424_29261504"
"488","chr1_29405875_29405975"
"489","chr1_29587781_29588249"
"490","chr1_30008945_30009342"
"491","chr1_30144986_30145374"
"492","chr1_30204603_30205211"
"493","chr1_30503192_30503594"
"494","chr1_30537196_30537622"
"495","chr1_30584792_30585496"
"496","chr1_30595272_30595768"
"497","chr1_30632806_30633135"
"498","chr1_30700257_30701707"
"499","chr1_30716379_30716714"
"500","chr1_30740851_30741208"
"501","chr1_30751076_30751552"
"502","chr1_30755516_30755925"
"503","chr1_30778681_30778958"
"504","chr1_30789340_30789344"
"505","chr1_30790005_30790736"
"506","chr1_30872587_30874482"
"507","chr1_30948268_30950794"
"508","chr1_31051690_31051821"
"509","chr1_31064763_31065983"
"510","chr1_31154012_31154330"
"511","chr1_31178167_31178748"
"512","chr1_31205288_31206053"
"513","chr1_31210145_31210601"
"514","chr1_31233500_31233985"
"515","chr1_31448859_31449591"
"516","chr1_31452617_31452872"
"517","chr1_31453713_31454425"
"518","chr1_31462201_31462869"
"519","chr1_31640058_31640327"
"520","chr1_32092989_32093418"
"521","chr1_32171976_32173721"
"522","chr1_32174471_32175406"
"523","chr1_32309759_32309871"
"524","chr1_32363403_32364067"
"525","chr1_32397449_32398138"
"526","chr1_32428376_32428722"
"527","chr1_32432765_32433633"
"528","chr1_32463201_32463625"
"529","chr1_32487971_32488387"
"530","chr1_32553558_32554395"
"531","chr1_32564956_32565164"
"532","chr1_32568930_32569269"
"533","chr1_32632373_32633411"
"534","chr1_32634046_32634890"
"535","chr1_32701222_32701547"
"536","chr1_32887692_32888188"
"537","chr1_32902533_32902778"
"538","chr1_33040798_33041049"
"539","chr1_33042477_33042778"
"540","chr1_33174975_33175640"
"541","chr1_33194997_33195636"
"542","chr1_33201404_33202250"
"543","chr1_33214478_33215272"
"544","chr1_33269152_33269493"
"545","chr1_33271451_33272227"
"546","chr1_33334157_33334341"
"547","chr1_33460281_33460677"
"548","chr1_33494653_33495542"
"549","chr1_33499614_33500273"
"550","chr1_33527593_33527725"
"551","chr1_33531478_33531782"
"552","chr1_33609818_33610606"
"553","chr1_33641199_33641565"
"554","chr1_33645502_33646354"
"555","chr1_33647102_33647812"
"556","chr1_33663204_33663329"
"557","chr1_33669216_33671037"
"558","chr1_33672473_33672918"
"559","chr1_33678394_33678683"
"560","chr1_33701041_33701657"
"561","chr1_33714780_33715181"
"562","chr1_33719469_33720887"
"563","chr1_33739246_33739780"
"564","chr1_33742880_33743225"
"565","chr1_33751264_33751810"
"566","chr1_33754967_33755337"
"567","chr1_33756546_33758289"
"568","chr1_33776245_33776657"
"569","chr1_33813218_33815203"
"570","chr1_33843785_33844359"
"571","chr1_33873235_33874113"
"572","chr1_33876391_33876657"
"573","chr1_33883379_33883814"
"574","chr1_33892805_33893130"
"575","chr1_33896068_33896590"
"576","chr1_33906417_33908773"
"577","chr1_33932898_33933490"
"578","chr1_33935753_33936454"
"579","chr1_33940298_33940826"
"580","chr1_33946460_33947700"
"581","chr1_33948529_33948906"
"582","chr1_33964637_33965044"
"583","chr1_33966225_33966771"
"584","chr1_34005107_34007072"
"585","chr1_34010860_34012383"
"586","chr1_34041331_34041895"
"587","chr1_34051359_34051988"
"588","chr1_34061079_34061540"
"589","chr1_34074767_34075183"
"590","chr1_34077135_34077450"
"591","chr1_34094349_34094644"
"592","chr1_34097565_34098124"
"593","chr1_34099465_34099832"
"594","chr1_34117729_34118122"
"595","chr1_34121281_34121618"
"596","chr1_34140307_34140478"
"597","chr1_34150576_34151160"
"598","chr1_34158895_34159222"
"599","chr1_34164615_34164979"
"600","chr1_34165893_34166410"
"601","chr1_34167661_34167885"
"602","chr1_34182851_34183801"
"603","chr1_34218290_34218738"
"604","chr1_34236213_34237843"
"605","chr1_34298530_34299862"
"606","chr1_34388823_34389532"
"607","chr1_34396251_34396818"
"608","chr1_34399513_34399948"
"609","chr1_34409864_34410238"
"610","chr1_34432638_34436144"
"611","chr1_34438838_34440497"
"612","chr1_34458555_34460225"
"613","chr1_34462762_34463163"
"614","chr1_34467743_34467899"
"615","chr1_34472252_34473300"
"616","chr1_34485645_34486220"
"617","chr1_34510731_34511431"
"618","chr1_34523781_34524003"
"619","chr1_34536546_34536990"
"620","chr1_34578667_34580424"
"621","chr1_34583463_34584984"
"622","chr1_34602292_34602808"
"623","chr1_34642403_34642888"
"624","chr1_34663971_34666934"
"625","chr1_34677755_34678969"
"626","chr1_34686613_34686890"
"627","chr1_34696461_34696967"
"628","chr1_34700357_34701110"
"629","chr1_34738380_34738791"
"630","chr1_34749301_34751737"
"631","chr1_34776106_34776209"
"632","chr1_34793517_34794015"
"633","chr1_34801430_34802685"
"634","chr1_34811654_34812020"
"635","chr1_34841944_34843699"
"636","chr1_34849570_34850982"
"637","chr1_34866996_34867639"
"638","chr1_34891515_34892061"
"639","chr1_34896881_34897336"
"640","chr1_34920862_34921204"
"641","chr1_34961684_34962011"
"642","chr1_34987611_34988268"
"643","chr1_35032859_35032938"
"644","chr1_35107027_35107796"
"645","chr1_35137994_35138316"
"646","chr1_35162512_35162869"
"647","chr1_35181524_35181641"
"648","chr1_35201394_35201417"
"649","chr1_35202393_35203124"
"650","chr1_35212384_35212726"
"651","chr1_35242923_35243656"
"652","chr1_35331756_35332014"
"653","chr1_35361438_35361915"
"654","chr1_35362876_35363216"
"655","chr1_35385583_35385696"
"656","chr1_35388189_35388539"
"657","chr1_35428171_35428863"
"658","chr1_35469066_35469680"
"659","chr1_35575302_35575448"
"660","chr1_35588958_35589217"
"661","chr1_35653030_35653879"
"662","chr1_35682502_35683112"
"663","chr1_35695072_35695447"
"664","chr1_35701566_35702024"
"665","chr1_35726632_35726973"
"666","chr1_35729728_35730789"
"667","chr1_35749299_35750844"
"668","chr1_35802933_35803542"
"669","chr1_35806364_35806688"
"670","chr1_35824225_35824469"
"671","chr1_35849542_35850608"
"672","chr1_35869415_35870163"
"673","chr1_35879230_35880305"
"674","chr1_35911839_35912131"
"675","chr1_35919856_35920646"
"676","chr1_35935227_35936781"
"677","chr1_35951028_35951617"
"678","chr1_35957640_35958508"
"679","chr1_35973250_35973750"
"680","chr1_36009111_36009386"
"681","chr1_36030414_36030998"
"682","chr1_36064575_36065624"
"683","chr1_36067704_36069864"
"684","chr1_36089108_36089489"
"685","chr1_36095296_36095996"
"686","chr1_36134561_36134976"
"687","chr1_36145071_36145472"
"688","chr1_36149451_36149744"
"689","chr1_36243678_36244843"
"690","chr1_36252771_36253259"
"691","chr1_36254653_36255239"
"692","chr1_36277350_36277550"
"693","chr1_36279161_36279620"
"694","chr1_36296380_36296863"
"695","chr1_36302996_36304215"
"696","chr1_36307235_36308713"
"697","chr1_36309440_36310048"
"698","chr1_36323985_36324474"
"699","chr1_36368349_36369511"
"700","chr1_36401267_36402145"
"701","chr1_36441202_36441391"
"702","chr1_36444403_36445783"
"703","chr1_36470745_36472536"
"704","chr1_36480632_36480823"
"705","chr1_36492443_36492786"
"706","chr1_36501251_36501658"
"707","chr1_36511236_36514096"
"708","chr1_36523527_36523966"
"709","chr1_36528201_36528908"
"710","chr1_36546492_36548029"
"711","chr1_36555675_36559083"
"712","chr1_36579983_36581438"
"713","chr1_36590634_36591095"
"714","chr1_36595510_36596483"
"715","chr1_36603000_36603984"
"716","chr1_36606838_36607533"
"717","chr1_36612663_36612803"
"718","chr1_36615251_36615590"
"719","chr1_36628585_36628987"
"720","chr1_36634879_36635368"
"721","chr1_36636011_36636961"
"722","chr1_36638154_36638526"
"723","chr1_36664466_36664794"
"724","chr1_36683484_36684684"
"725","chr1_36690995_36692173"
"726","chr1_36709058_36710578"
"727","chr1_36737276_36737747"
"728","chr1_36744184_36745057"
"729","chr1_36770990_36771221"
"730","chr1_36784522_36786567"
"731","chr1_36800618_36801002"
"732","chr1_36813284_36814397"
"733","chr1_36831171_36831640"
"734","chr1_36860655_36861997"
"735","chr1_36864704_36865232"
"736","chr1_36879167_36879872"
"737","chr1_36904292_36904925"
"738","chr1_36937836_36938011"
"739","chr1_36938520_36940654"
"740","chr1_36984622_36984674"
"741","chr1_37028533_37029891"
"742","chr1_37060802_37061502"
"743","chr1_37077836_37078563"
"744","chr1_37081436_37082220"
"745","chr1_37097082_37098577"
"746","chr1_37114006_37114115"
"747","chr1_37122090_37123166"
"748","chr1_37134753_37135079"
"749","chr1_37194638_37194993"
"750","chr1_37218403_37218806"
"751","chr1_37219826_37220771"
"752","chr1_37231439_37231579"
"753","chr1_37250510_37251303"
"754","chr1_37272413_37272936"
"755","chr1_37288097_37288576"
"756","chr1_37299415_37300840"
"757","chr1_37339106_37339564"
"758","chr1_37342036_37342240"
"759","chr1_37347296_37347691"
"760","chr1_37350840_37351288"
"761","chr1_37401636_37402055"
"762","chr1_37419352_37419765"
"763","chr1_37429330_37430801"
"764","chr1_37512177_37513513"
"765","chr1_37540093_37541772"
"766","chr1_37585800_37586029"
"767","chr1_37628732_37629171"
"768","chr1_37634611_37635082"
"769","chr1_37639065_37639604"
"770","chr1_37678335_37678763"
"771","chr1_37686813_37687996"
"772","chr1_37696924_37697298"
"773","chr1_37698158_37698604"
"774","chr1_37719294_37720352"
"775","chr1_37725764_37726831"
"776","chr1_37742852_37743038"
"777","chr1_37864253_37866030"
"778","chr1_37871598_37873038"
"779","chr1_37889674_37891784"
"780","chr1_37959486_37959753"
"781","chr1_37996550_37998847"
"782","chr1_38128801_38130692"
"783","chr1_38185426_38185981"
"784","chr1_38197323_38197715"
"785","chr1_38198412_38201036"
"786","chr1_38202817_38203160"
"787","chr1_38222081_38222247"
"788","chr1_38247637_38247808"
"789","chr1_38252610_38253023"
"790","chr1_38262517_38262613"
"791","chr1_38268426_38268984"
"792","chr1_38272344_38272850"
"793","chr1_38292925_38293219"
"794","chr1_38295155_38295267"
"795","chr1_38307910_38308946"
"796","chr1_38334201_38334729"
"797","chr1_38336801_38337141"
"798","chr1_38357997_38359257"
"799","chr1_38367432_38368104"
"800","chr1_38382648_38382964"
"801","chr1_38389777_38389920"
"802","chr1_38390808_38391227"
"803","chr1_38392900_38393965"
"804","chr1_38401962_38402091"
"805","chr1_38410317_38411194"
"806","chr1_38417355_38419011"
"807","chr1_38428852_38429724"
"808","chr1_38437857_38440209"
"809","chr1_38441411_38441425"
"810","chr1_38446161_38446811"
"811","chr1_38449969_38451494"
"812","chr1_38467622_38467677"
"813","chr1_38478174_38478655"
"814","chr1_38488756_38489233"
"815","chr1_38490822_38491250"
"816","chr1_38496644_38497314"
"817","chr1_38503416_38503833"
"818","chr1_38512390_38512796"
"819","chr1_38530056_38530444"
"820","chr1_38545451_38546050"
"821","chr1_38565208_38565931"
"822","chr1_38567740_38568268"
"823","chr1_38606591_38607189"
"824","chr1_38626186_38629545"
"825","chr1_38631153_38633492"
"826","chr1_38671271_38671498"
"827","chr1_38683310_38683594"
"828","chr1_38729022_38731010"
"829","chr1_38753284_38753410"
"830","chr1_38757590_38758223"
"831","chr1_38767161_38768297"
"832","chr1_38769890_38770290"
"833","chr1_38786308_38787901"
"834","chr1_38799374_38799714"
"835","chr1_38807163_38807434"
"836","chr1_38816400_38816730"
"837","chr1_38819632_38820182"
"838","chr1_38834938_38837177"
"839","chr1_38847756_38849453"
"840","chr1_38856149_38856662"
"841","chr1_38862311_38862352"
"842","chr1_38893109_38893998"
"843","chr1_38897101_38898459"
"844","chr1_38929092_38930092"
"845","chr1_38986968_38988568"
"846","chr1_39001084_39001748"
"847","chr1_39007207_39007783"
"848","chr1_39010630_39011152"
"849","chr1_39025210_39025601"
"850","chr1_39029134_39029563"
"851","chr1_39086461_39086489"
"852","chr1_39092955_39093779"
"853","chr1_39097564_39098009"
"854","chr1_39099160_39099681"
"855","chr1_39123867_39124203"
"856","chr1_39177094_39177928"
"857","chr1_39192345_39194640"
"858","chr1_39196338_39197055"
"859","chr1_39251354_39252163"
"860","chr1_39257128_39257357"
"861","chr1_39267094_39267520"
"862","chr1_39273101_39273321"
"863","chr1_39312280_39313491"
"864","chr1_39336804_39337206"
"865","chr1_39340680_39341110"
"866","chr1_39344939_39345378"
"867","chr1_39366863_39368890"
"868","chr1_39387382_39387989"
"869","chr1_39392166_39392644"
"870","chr1_39439578_39440530"
"871","chr1_39441620_39442176"
"872","chr1_39443792_39444061"
"873","chr1_39446011_39446765"
"874","chr1_39450394_39450659"
