,peak_id,gene_short_name
79,chr10_121309304_121311576,Tbc1d30
80,chr10_121364613_121365832,Gns
81,chr10_121475539_121477145,Rassf3
82,chr10_121585889_121587466,Tbk1
83,chr10_121625445_121627033,Xpot
84,chr10_121640368_121642584,D930020B18Rik
85,chr10_121739253_121740632,BC048403
86,chr10_122046056_122048267,Srgap1
87,chr10_122096341_122098145,Tmem5
88,chr10_122447245_122449551,Avpr1a
89,chr10_122569324_122571329,A130077B15Rik
90,chr10_122678236_122680950,Ppm1h
91,chr10_122985055_122986977,Mirlet7i
92,chr10_123075587_123077184,Mon2
93,chr10_123195649_123197947,Usp15
94,chr10_123263711_123265885,Fam19a2
95,chr10_125965714_125967457,Lrig3
96,chr10_126900642_126902008,Atp23
97,chr10_126977904_126981566,Ctdsp2
98,chr10_127030151_127031156,Tsfm
99,chr10_127040759_127042581,Mettl1
100,chr10_127040759_127042581,Mettl21b
101,chr10_127058091_127061577,March9
102,chr10_127062688_127064675,Cdk4
103,chr10_127069071_127071240,A730063M14Rik
104,chr10_127069071_127071240,Tspan31
105,chr10_127077608_127080242,Agap2
106,chr10_127120388_127121722,Os9
107,chr10_127164655_127166735,B4galnt1
108,chr10_127180104_127180591,Slc26a10
109,chr10_127187253_127190329,Arhgef25
110,chr10_127194936_127196829,Dtx3
111,chr10_127194936_127196829,F420014N23Rik
112,chr10_127211023_127212045,Pip4k2c
113,chr10_127261967_127263611,Kif5a
114,chr10_127265685_127267163,Dctn2
115,chr10_127288133_127291643,Ddit3
116,chr10_127288133_127291643,Mbd6
117,chr10_127311055_127312745,Mars
118,chr10_127338599_127342732,Gli1
119,chr10_127379919_127381536,R3hdm2
120,chr10_127420048_127421386,R3hdm2
121,chr10_127508189_127514123,Ndufa4l2
122,chr10_127521771_127522749,Shmt2
123,chr10_127533706_127535727,Nxph4
124,chr10_127619747_127622422,Lrp1
125,chr10_127641696_127643328,Stat6
126,chr10_127665575_127669557,1700012D01Rik
127,chr10_127665575_127669557,Nab2
128,chr10_127676229_127678393,Nemp1
129,chr10_127738052_127740342,Zbtb39
130,chr10_128008173_128008944,Hsd17b6
131,chr10_128014909_128015746,Prim1
132,chr10_128034917_128037035,Naca
133,chr10_128058027_128060016,Ptges3
134,chr10_128082480_128084096,Atp5b
135,chr10_128090711_128093734,Baz2a
136,chr10_128176086_128176919,Rbms2
137,chr10_128193914_128195603,Gls2
138,chr10_128211231_128213414,Spryd4
139,chr10_128231577_128233153,Timeless
140,chr10_128270014_128271238,Stat2
141,chr10_128302609_128304245,Pan2
142,chr10_128321801_128323262,Cnpy2
143,chr10_128337163_128338473,Cs
144,chr10_128376307_128378256,Ankrd52
145,chr10_128408945_128410452,Nabp2
146,chr10_128410966_128412644,Rnf41
147,chr10_128458215_128460518,Mir8105
148,chr10_128458215_128460518,Smarcc2
149,chr10_128492626_128494881,Myl6
150,chr10_128498274_128499760,A430046D13Rik
151,chr10_128498274_128499760,Myl6b
152,chr10_128524544_128526629,Esyt1
153,chr10_128546221_128549840,Rpl41
154,chr10_128546221_128549840,Zc3h10
155,chr10_128565093_128566973,Pa2g4
156,chr10_128589538_128590856,Erbb3
157,chr10_128625850_128627335,Rps26
158,chr10_128644951_128646955,Gm26876
159,chr10_128644951_128646955,Ikzf4
160,chr10_128673342_128675047,Suox
161,chr10_128695464_128697226,Rab5b
162,chr10_128704372_128705721,Cdk2
163,chr10_128743593_128744262,Dgka
164,chr10_128745006_128745178,Dgka
165,chr10_128747526_128749133,Pym1
166,chr10_128803660_128806085,Dnajc14
167,chr10_128803660_128806085,Tmem198b
168,chr10_128821208_128822322,Ormdl2
169,chr10_128821208_128822322,Sarnp
170,chr10_128890678_128892980,Gdf11
171,chr10_128909219_128911068,Cd63
172,chr10_128922579_128924030,Bloc1s1
173,chr10_128933478_128934361,Itga7
174,chr10_12921670_12923713,B230208H11Rik
175,chr10_12963887_12964921,Stx11
176,chr10_13007874_13009225,Sf3b5
177,chr10_13090138_13091951,Plagl1
178,chr10_13192461_13193504,Ltv1
179,chr10_13323225_13324524,Phactr2
180,chr10_13388562_13389243,Phactr2
181,chr10_13473504_13474716,Phactr2
182,chr10_13500831_13501594,Fuca2
183,chr10_13552642_13553840,Adat2
184,chr10_13552642_13553840,Pex3
185,chr10_13868317_13869479,Aig1
186,chr10_13964202_13969397,Hivep2
187,chr10_14544628_14546406,Adgrg6
188,chr10_14704861_14706072,1700016L04Rik
189,chr10_14704861_14706072,Vta1
190,chr10_14759768_14760527,Nmbr
191,chr10_17095730_17095879,Gm20125
192,chr10_17721445_17724940,Cited2
193,chr10_17795904_17796705,Txlnb
194,chr10_17946792_17948756,Heca
195,chr10_18020178_18023679,Abracl
196,chr10_18055027_18056956,Reps1
197,chr10_18210805_18211107,Ect2l
198,chr10_18233920_18235864,Ccdc28a
199,chr10_18407226_18409511,Nhsl1
200,chr10_18469231_18471019,Nhsl1
201,chr10_18545685_18546390,Hebp2
202,chr10_18742141_18744354,Arfgef3
203,chr10_18742141_18744354,Gm32926
204,chr10_18844614_18845414,Perp
205,chr10_19014510_19016060,Tnfaip3
206,chr10_19356451_19356517,Olig3
207,chr10_19591236_19592689,Ifngr1
208,chr10_19712274_19712776,Il20ra
209,chr10_19849480_19852063,Slc35d3
210,chr10_19907010_19907933,Pex7
211,chr10_19933319_19935328,Map3k5
212,chr10_20148038_20150390,Map7
213,chr10_20170128_20171353,Map7
214,chr10_20311310_20313492,Bclaf1
215,chr10_20347275_20348243,Mtfr2
216,chr10_20547845_20548726,Pde7b
217,chr10_20723071_20725636,Pde7b
218,chr10_20951724_20953367,Ahi1
219,chr10_21158295_21161916,Myb
220,chr10_21295497_21296794,Hbs1l
221,chr10_21881822_21883779,Sgk1
222,chr10_21991192_21991844,Sgk1
223,chr10_21992983_21996327,Sgk1
224,chr10_22148373_22149930,E030030I06Rik
225,chr10_22158285_22159218,Raet1e
226,chr10_22273087_22274254,H60b
227,chr10_22644556_22645637,Slc2a12
228,chr10_22730203_22732374,Mir7663
229,chr10_22730203_22732374,Tbpl1
230,chr10_23348389_23350869,Eya4
231,chr10_23786545_23788042,Rps12
232,chr10_23796255_23797910,Slc18b1
233,chr10_24148822_24149909,Stx7
234,chr10_24223155_24223912,Moxd1
235,chr10_24595274_24597397,Ctgf
236,chr10_24711163_24712501,Enpp1
237,chr10_24835554_24836682,Enpp3
238,chr10_24869442_24870573,Med23
239,chr10_25199383_25200584,Akap7
240,chr10_25359134_25360778,Epb41l2
241,chr10_26077431_26079357,Gm9767
242,chr10_26077431_26079357,Tmem200a
243,chr10_26372850_26376847,L3mbtl3
244,chr10_26772003_26773567,Arhgap18
245,chr10_28073778_28077215,Ptprk
246,chr10_29142584_29145556,Soga3
247,chr10_29211370_29212002,9330159F19Rik
248,chr10_29312667_29313805,Echdc1
249,chr10_29360946_29362771,Rnf146
250,chr10_29532722_29536275,Rspo3
251,chr10_30199853_30200999,Cenpw
252,chr10_30599999_30601311,Trmt11
253,chr10_30617680_30619016,Hint3
254,chr10_30802045_30804204,Ncoa7
255,chr10_30842158_30844794,Hey2
256,chr10_31312765_31314306,Hddc2
257,chr10_31445162_31446254,Tpd52l1
258,chr10_31607921_31610357,Rnf217
259,chr10_32889363_32891232,Nkain2
260,chr10_33082141_33082598,Trdn
261,chr10_33623469_33625033,Clvs2
262,chr10_33623469_33625033,Gm15939
263,chr10_3365542_3367769,Ppp1r14c
264,chr10_33904698_33905563,Rsph4a
265,chr10_33950631_33951722,Zufsp
266,chr10_34018649_34020265,Rwdd1
267,chr10_34036515_34037645,Trappc3l
268,chr10_34096163_34096926,Fam26e
269,chr10_34127311_34127877,Fam26f
270,chr10_34206347_34208227,Dse
271,chr10_34280456_34283217,Tspyl1
272,chr10_34296732_34298353,Tspyl4
273,chr10_34417934_34419086,Nt5dc1
274,chr10_36505970_36508622,Hs3st5
275,chr10_36973749_36975708,Hdac2
276,chr10_37135945_37141996,Marcks
277,chr10_3740048_3741606,Plekhg1
278,chr10_38965086_38966181,Lama4
279,chr10_39133348_39134557,Fam229b
280,chr10_39133348_39134557,Tube1
281,chr10_39369095_39371455,Fyn
282,chr10_39612992_39613883,Gm16364
283,chr10_39612992_39613883,Traf3ip2
284,chr10_3972703_3974372,Mthfd1l
285,chr10_39730803_39734084,E130307A14Rik
286,chr10_39730803_39734084,Rev3l
287,chr10_39898484_39899651,Mfsd4b4
288,chr10_39926544_39927113,Mfsd4b2
289,chr10_39959654_39960802,Mfsd4b3
290,chr10_40024448_40025724,Mfsd4b1
291,chr10_40141312_40142813,Slc16a10
292,chr10_40246368_40247693,Rpf2
293,chr10_40256608_40259431,Gtf3c6
294,chr10_40300348_40303100,Amd1
295,chr10_40348187_40350502,Cdk19
296,chr10_40629805_40630013,Ddo
297,chr10_40682373_40683981,Mettl24
298,chr10_40882534_40884996,Cdc40
299,chr10_40882534_40884996,Wasf1
300,chr10_41070917_41072702,Gpr6
301,chr10_41302531_41304473,Fig4
302,chr10_41449664_41450969,Zbtb24
303,chr10_41475987_41478354,Mical1
304,chr10_41489767_41490990,Ppil6
305,chr10_41489767_41490990,Smpd2
306,chr10_41518350_41520524,Cd164
307,chr10_41716099_41717048,Ccdc162
308,chr10_41746593_41746915,BC048559
309,chr10_41809070_41811339,Cep57l1
310,chr10_41809070_41811339,Sesn1
311,chr10_41886774_41888831,Sesn1
312,chr10_42017796_42019055,Armc2
313,chr10_42274466_42278972,Foxo3
314,chr10_42477849_42479014,Afg1l
315,chr10_42501462_42503198,Snx3
316,chr10_42581704_42586299,Nr2e1
317,chr10_4265549_4267436,Akap12
318,chr10_42678390_42679815,Ostm1
319,chr10_42760887_42762944,Sec63
320,chr10_42859882_42861074,Scml4
321,chr10_43172243_43176046,9030612E09Rik
322,chr10_43172243_43176046,Sobp
323,chr10_43220533_43221973,Pdss2
324,chr10_43477224_43480530,Bend3
325,chr10_43540029_43541342,1700021F05Rik
326,chr10_43577650_43581693,Cd24a
327,chr10_4386120_4388846,Zbtb2
328,chr10_43901134_43902370,Qrsl1
329,chr10_43901134_43902370,Rtn4ip1
330,chr10_44005793_44006775,Crybg1
331,chr10_44267655_44269003,Atg5
332,chr10_4431666_4433720,Armt1
333,chr10_4431666_4433720,Rmnd1
334,chr10_44457190_44459607,Prdm1
335,chr10_45066169_45068040,Prep
336,chr10_45289130_45289950,Popdc3
337,chr10_45334818_45336228,Bves
338,chr10_45470301_45470434,Lin28b
339,chr10_45577390_45578988,Hace1
340,chr10_45807141_45807291,D030045P18Rik
341,chr10_4709833_4710618,Esr1
342,chr10_49787756_49789362,Grik2
343,chr10_50592040_50593610,Ascc3
344,chr10_50893947_50895461,Sim1
345,chr10_51677549_51678355,Rfx6
346,chr10_5194231_5195362,Syne1
347,chr10_52021892_52023323,Vgll2
348,chr10_52232441_52234966,Dcbld1
349,chr10_52381017_52383080,Gopc
350,chr10_52416814_52418741,Nus1
351,chr10_52690015_52692148,Slc35f1
352,chr10_53378772_53380608,Cep85l
353,chr10_53595844_53598117,Asf1a
354,chr10_53629033_53630791,Mcm9
355,chr10_53750222_53751923,Fam184a
356,chr10_54074468_54076624,Gm16998
357,chr10_54074468_54076624,Man1a
358,chr10_5549835_5551114,Syne1
359,chr10_56106526_56107155,Msl3l2
360,chr10_56228131_56229425,Tbc1d32
361,chr10_56377111_56379409,Gja1
362,chr10_56431556_56432149,Gm36595
363,chr10_57485611_57487724,4930467K11Rik
364,chr10_57485611_57487724,Hsf2
365,chr10_57531295_57533004,Serinc1
366,chr10_57631782_57632745,Pkib
367,chr10_57783258_57786462,Fabp7
368,chr10_57794417_57796590,Smpdl3a
369,chr10_5804741_5806825,Fbxo5
370,chr10_5823252_5825291,Mtrf1l
371,chr10_58254809_58256307,Gcc2
372,chr10_58322406_58324702,Lims1
373,chr10_58370130_58370592,Lims1
374,chr10_58445777_58447848,Ranbp2
375,chr10_58497269_58498560,Ccdc138
376,chr10_58675473_58675999,Edar
377,chr10_58811863_58814417,Sh3rf3
378,chr10_5920951_5923557,Rgs17
379,chr10_59220777_59223344,Sept10
380,chr10_59220777_59223344,Sowahc
381,chr10_59322477_59324558,P4ha1
382,chr10_59615540_59617385,Mcu
383,chr10_59701938_59703255,Micu1
384,chr10_59878821_59880548,Dnajb12
385,chr10_59950121_59953892,Ddit4
386,chr10_60002119_60003956,Ascc1
387,chr10_60105463_60107910,Spock2
388,chr10_60218053_60219687,Chst3
389,chr10_60277065_60278506,Psap
390,chr10_60346603_60347334,Vsir
391,chr10_60399382_60399780,Gm17455
392,chr10_60696917_60697423,Cdh23
393,chr10_60751946_60753310,Slc29a3
394,chr10_60830559_60832161,Unc5b
395,chr10_61089225_61089813,Pcbd1
396,chr10_61145789_61148257,Sgpl1
397,chr10_61272836_61273894,Adamts14
398,chr10_61382641_61384063,Pald1
399,chr10_61451315_61453500,Eif4ebp2
400,chr10_61475054_61476614,Lrrc20
401,chr10_61647973_61649357,Ppa1
402,chr10_61679592_61680984,1700022H01Rik
403,chr10_61679592_61680984,Sar1a
404,chr10_61694718_61696509,Tysnd1
405,chr10_61714939_61715498,Aifm2
406,chr10_61782356_61784842,H2afy2
407,chr10_62110327_62111516,Fam241b
408,chr10_62194079_62194985,Mir7662
409,chr10_62230539_62231750,Tspan15
410,chr10_62339024_62341178,Hk1
411,chr10_62339024_62341178,Hk1os
412,chr10_62449164_62450588,4930507D05Rik
413,chr10_62449164_62450588,Supv3l1
414,chr10_62485736_62487633,Vps26a
415,chr10_62577672_62579124,Kif1bp
416,chr10_62601473_62602970,Ddx21
417,chr10_62650351_62652166,Ddx50
418,chr10_62725492_62726603,Stox1
419,chr10_62791426_62793303,Ccar1
420,chr10_62885967_62887635,Tet1
421,chr10_62919736_62921386,Slc25a16
422,chr10_62946523_62947456,Dna2
423,chr10_62979683_62981179,Rufy2
424,chr10_63022691_63027205,Hnrnph3
425,chr10_63022691_63027205,Pbld2
426,chr10_63099645_63101088,Atoh7
427,chr10_63243096_63245131,Herc4
428,chr10_63338042_63339741,Sirt1
429,chr10_63381698_63383145,Dnajc12
430,chr10_63386222_63387212,Dnajc12
431,chr10_63428617_63430675,Ctnna3
432,chr10_64089748_64090616,Lrrtm3
433,chr10_66919833_66922110,1110002J07Rik
434,chr10_67002473_67005180,Gm31763
435,chr10_67095764_67098843,Reep3
436,chr10_67125877_67127912,Jmjd1c
437,chr10_67185348_67186437,Jmjd1c
438,chr10_67284368_67285979,Nrbf2
439,chr10_67535164_67539378,Egr2
440,chr10_67547833_67549952,Ado
441,chr10_6788335_6788988,Oprm1
442,chr10_67911617_67913021,Zfp365
443,chr10_67978951_67980175,Rtkn2
444,chr10_68274838_68280718,Arid5b
445,chr10_68540487_68542063,Cabcoco1
446,chr10_68723715_68724705,Tmem26
447,chr10_69211924_69214376,A930033H14Rik
448,chr10_69211924_69214376,Rhobtb1
449,chr10_69351948_69353449,Cdk1
450,chr10_69533303_69536171,Ank3
451,chr10_6979353_6980626,Ipcef1
452,chr10_70096436_70099029,Ccdc6
453,chr10_70204453_70204963,Mrln
454,chr10_70244660_70246036,Slc16a9
455,chr10_70439663_70441769,Fam13c
456,chr10_70598063_70600482,Phyhipl
457,chr10_70651941_70652300,D630013N20Rik
458,chr10_71158894_71160129,Bicc1
459,chr10_71237386_71238759,Tfam
460,chr10_71283995_71285780,Ube2d1
461,chr10_71344327_71345587,Cisd1
462,chr10_71346789_71349060,Ipmk
463,chr10_7210873_7213203,Cnksr3
464,chr10_72654152_72655855,Zwint
465,chr10_73821568_73822600,Pcdh15
466,chr10_74966404_74968341,Gnaz
467,chr10_75032269_75032870,Rsph14
468,chr10_75036614_75037736,Rab36
469,chr10_75059072_75062645,Bcr
470,chr10_75211511_75213402,Specc1l
471,chr10_75316440_75317710,Adora2a
472,chr10_75516547_75518475,Gucd1
473,chr10_75516547_75518475,Snrpd3
474,chr10_75558317_75560897,Lrrc75b
475,chr10_75643742_75644086,Susd2
476,chr10_75763770_75765579,Cabin1
477,chr10_75772767_75773951,Ddt
478,chr10_75797544_75798805,Gstt1
479,chr10_75834236_75835830,Gstt2
480,chr10_75859131_75860963,Mif
481,chr10_75892551_75893973,Derl3
482,chr10_7589388_7590841,Lrp11
483,chr10_75920769_75922329,Smarcb1
484,chr10_75931444_75932795,Mmp11
485,chr10_76031816_76033436,Zfp280b
486,chr10_76237231_76238489,Prmt2
487,chr10_76344541_76345999,Dip2a
488,chr10_76441879_76443572,Pcnt
489,chr10_76468385_76469369,Mcm3ap
490,chr10_76468385_76469369,Ybey
491,chr10_76530698_76532283,Lss
492,chr10_76623222_76623701,Col6a2
493,chr10_7662357_7664115,A630066F11Rik
494,chr10_7662357_7664115,Pcmt1
495,chr10_7667040_7668041,Nup43
496,chr10_7680196_7682170,Lats1
497,chr10_7680196_7682170,Pcmt1
498,chr10_76961138_76962750,Pcbp3
499,chr10_77032262_77034291,Slc19a1
500,chr10_77165108_77166741,Col18a1
501,chr10_7725420_7726622,Katna1
502,chr10_77258363_77260004,Gm10941
503,chr10_77258363_77260004,Pofut2
504,chr10_77416744_77418866,Adarb1
505,chr10_77416744_77418866,Gm17769
506,chr10_77515235_77517493,Fam207a
507,chr10_77581026_77582387,Pttg1ip
508,chr10_77605302_77607268,Sumo3
509,chr10_77621775_77623668,Ube2g2
510,chr10_7779937_7781403,Ginm1
511,chr10_77901699_77903919,Lrrc3
512,chr10_7792240_7793373,Ppil4
513,chr10_77969465_77970289,Trpm2
514,chr10_77977861_77979261,1810043G02Rik
515,chr10_78008648_78010299,Pfkl
516,chr10_78043277_78043970,Aire
517,chr10_78069004_78069992,Icosl
518,chr10_78169171_78170514,D10Jhu81e
519,chr10_78184551_78185678,Pwp2
520,chr10_78243924_78245691,Trappc10
521,chr10_78351704_78353071,Agpat3
522,chr10_78411961_78413539,Rrp1
523,chr10_78425212_78426438,Cstb
524,chr10_78464167_78465552,Pdxk
525,chr10_78573922_78576168,Ilvbl
526,chr10_78591425_78592251,Syde1
527,chr10_78751989_78753384,Ccdc105
528,chr10_78779699_78780865,Slc1a6
529,chr10_79096698_79098027,2610008E11Rik
530,chr10_79532771_79534058,Plpp2
531,chr10_7954705_7957167,Tab2
532,chr10_79554158_79555491,Mier2
533,chr10_79613516_79614631,C2cd4c
534,chr10_79636774_79638345,Shc2
535,chr10_79664050_79664388,Madcam1
536,chr10_79668443_79670446,Tpgs1
537,chr10_79681163_79683706,Cdc34
538,chr10_79703646_79705207,Bsg
539,chr10_79716325_79718155,Hcn2
540,chr10_79745968_79747135,Polrmt
541,chr10_79766251_79768983,Rnf126
542,chr10_79793086_79795080,Palm
543,chr10_79852992_79855688,E130317F20Rik
544,chr10_79852992_79855688,Ptbp1
545,chr10_79873258_79875384,Plppr3
546,chr10_79907984_79909731,Med16
547,chr10_79916214_79917559,Kiss1r
548,chr10_79916214_79917559,R3hdm4
549,chr10_79925031_79928856,Arid3a
550,chr10_79959618_79960734,Wdr18
551,chr10_79983730_79986274,Tmem259
552,chr10_79995962_79998276,Abca7
553,chr10_80039054_80040159,Polr2e
554,chr10_80052986_80055048,Gpx4
555,chr10_80102285_80103169,Sbno2
556,chr10_80114468_80117363,Stk11
557,chr10_80136869_80139690,Cbarp
558,chr10_80140863_80142770,Atp5d
559,chr10_80147513_80152994,Midn
560,chr10_80167165_80168818,Cirbp
561,chr10_80172290_80173711,1600002K03Rik
562,chr10_80178955_80180239,Efna2
563,chr10_80225782_80227465,Mum1
564,chr10_80247832_80249929,Ndufs7
565,chr10_80259821_80262196,Gamt
566,chr10_80264347_80265469,Dazap1
567,chr10_80291765_80293610,Rps15
568,chr10_80298426_80301610,Apc2
569,chr10_80320002_80321407,2310011J03Rik
570,chr10_80329265_80330651,Pcsk4
571,chr10_80329265_80330651,Reep6
572,chr10_80348295_80348682,Adamtsl5
573,chr10_80356321_80358243,Plk5
574,chr10_80384761_80388427,Mex3d
575,chr10_80398144_80400395,Mbd3
576,chr10_80406387_80407395,Uqcr11
577,chr10_80432720_80434649,Tcf3
578,chr10_80494574_80495295,Onecut3
579,chr10_80539082_80539290,Atp8b3
580,chr10_80560945_80562451,Rexo1
581,chr10_80576165_80579346,Klf16
582,chr10_80589738_80591050,Abhd17a
583,chr10_80602407_80603646,Adat3
584,chr10_80621487_80623925,Csnk1g2
585,chr10_80655843_80657247,Btbd2
586,chr10_80675167_80678944,Mknk2
587,chr10_80701250_80703482,Izumo4
588,chr10_80701250_80703482,Mob3a
589,chr10_80741663_80743092,Ap3d1
590,chr10_80754732_80755753,Dot1l
591,chr10_80797352_80799409,Plekhj1
592,chr10_80797352_80799409,Sf3a2
593,chr10_80825774_80827475,Oaz1
594,chr10_80843555_80844532,Lingo3
595,chr10_80854732_80856587,Lsm7
596,chr10_80854732_80856587,Sppl2b
597,chr10_80900016_80901369,Timm13
598,chr10_80917339_80918920,Lmnb2
599,chr10_80928360_80930831,Gadd45b
600,chr10_80998805_81001688,Gng7
601,chr10_81014378_81015524,Gng7
602,chr10_81025024_81026158,Diras1
603,chr10_81036775_81037895,Slc39a3
604,chr10_81059750_81060720,Sgta
605,chr10_81069368_81070714,Thop1
606,chr10_81105365_81106882,Map2k2
607,chr10_81135275_81138893,Zbtb7a
608,chr10_81167220_81169478,Pias4
609,chr10_81174470_81177612,Eef2
610,chr10_81182235_81183497,Dapk3
611,chr10_81191923_81193737,Atcayos
612,chr10_81229681_81231527,Atcay
613,chr10_81232835_81233624,Zfr2
614,chr10_81252054_81253682,Matk
615,chr10_81257038_81258022,Matk
616,chr10_81266192_81267418,Apba3
617,chr10_81266192_81267418,Mrpl54
618,chr10_81267924_81268577,Apba3
619,chr10_81285379_81286523,Tjp3
620,chr10_81292317_81293963,Pip5k1c
621,chr10_81292317_81293963,Tjp3
622,chr10_81319299_81321756,Cactin
623,chr10_81349910_81351335,Hmg20b
624,chr10_81356999_81358290,Mfsd12
625,chr10_81364174_81365995,4930404N11Rik
626,chr10_81377897_81379370,Fzr1
627,chr10_81383795_81385048,Dohh
628,chr10_81408726_81409396,Gm16104
629,chr10_81416206_81417602,Mir1191b
630,chr10_81424251_81427383,Nfic
631,chr10_81472219_81474049,Celf5
632,chr10_81481541_81483161,Celf5
633,chr10_81495647_81497419,Ncln
634,chr10_81544318_81546077,Gna11
635,chr10_81559039_81560690,Aes
636,chr10_81575044_81575718,Tle2
637,chr10_81596601_81597509,Tle6
638,chr10_81600671_81601369,Tle6
639,chr10_81604736_81606877,BC025920
640,chr10_81626940_81628182,Ankrd24
641,chr10_81626940_81628182,Sirt6
642,chr10_81648575_81649569,Gm10778
643,chr10_82047524_82048920,Zfp873
644,chr10_82127474_82128711,AU041133
645,chr10_82240525_82241780,Zfp938
646,chr10_82622383_82623819,1190007I07Rik
647,chr10_82628995_82630826,Gm9855
648,chr10_82628995_82630826,Tdg
649,chr10_82698473_82699978,Hcfc2
650,chr10_82762540_82764716,Nfyb
651,chr10_82811735_82812434,1700028I16Rik
652,chr10_82858622_82861344,Txnrd1
653,chr10_82984787_82987696,Chst11
654,chr10_83336957_83338147,Slc41a2
655,chr10_83359584_83360983,D10Wsu102e
656,chr10_83533093_83534413,Aldh1l2
657,chr10_83542313_83544592,Washc4
658,chr10_83648075_83649328,Appl2
659,chr10_83722367_83723651,1500009L16Rik
660,chr10_84437189_84441782,Nuak1
661,chr10_84532797_84534785,Ckap4
662,chr10_84575873_84577835,Tcp11l2
663,chr10_84621766_84622925,Polr3b
664,chr10_84754584_84757717,Rfx4
665,chr10_84916615_84918331,Ric8b
666,chr10_85101757_85103911,Fhl4
667,chr10_85101757_85103911,Tmem263
668,chr10_85127449_85128786,Mterf2
669,chr10_8517573_8519557,Ust
670,chr10_85183217_85186084,Cry1
671,chr10_85386238_85389145,Btbd11
672,chr10_85597721_85599608,Btbd11
673,chr10_85871362_85872795,Pwp1
674,chr10_85916070_85917732,Prdm4
675,chr10_85927990_85929299,Ascl4
676,chr10_85957008_85958104,Rtcb
677,chr10_86021369_86022622,Fbxo7
678,chr10_86300177_86301476,Timp3
679,chr10_86497922_86499375,Syn3
680,chr10_86684839_86686171,1810014B01Rik
681,chr10_86704510_86706806,Hsp90b1
682,chr10_86704510_86706806,Ttc41
683,chr10_86778204_86779998,Nt5dc3
684,chr10_87057469_87059286,1700113H08Rik
685,chr10_87491447_87495135,Ascl1
686,chr10_87858125_87858401,Igf1
687,chr10_87858920_87859324,Igf1
688,chr10_87859872_87860977,Igf1
689,chr10_88146514_88147413,Nup37
690,chr10_88146514_88147413,Parpbp
691,chr10_88200648_88201919,Washc3
